,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:02:29.708806,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:02:42.855530,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:02:55.419706,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:03:11.296056,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:03:24.332159,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:03:40.228270,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:04:15.887755,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:04:30.205869,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
2024-08-13 11:04:46.843257,South Dakota,3,Trump,61.8,261043,Biden,35.6,150471,99
