,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:02:29.708806,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:02:42.855530,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:02:55.419706,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:03:11.296056,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:03:24.332159,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:03:40.228270,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:04:15.887755,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:04:30.205869,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
2024-08-13 11:04:46.843257,North Dakota,3,Trump,65.1,235595,Biden,31.8,114902,99
