,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:02:29.708806,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:02:42.855530,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:02:55.419706,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:03:11.296056,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:03:24.332159,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:03:40.228270,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:04:15.887755,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:04:30.205869,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
2024-08-13 11:04:46.843257,Montana,4,Trump,56.9,343602,Biden,40.5,244786,99
