,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:02:29.708806,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:02:42.855530,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:02:55.419706,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:03:11.296056,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:03:24.332159,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:03:40.228270,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:04:15.887755,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:04:30.205869,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
2024-08-13 11:04:46.843257,South Carolina,9,Trump,55.1,1385103,Biden,43.4,1091541,99
