,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:02:29.708806,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:02:42.855530,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:02:55.419706,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:03:11.296056,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:03:24.332159,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:03:40.228270,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:04:15.887755,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:04:30.205869,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
2024-08-13 11:04:46.843257,New York,28,Biden,60.9,5244886,Trump,37.7,3251997,99
