,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:02:29.708806,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:02:42.855530,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:02:55.419706,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:03:11.296056,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:03:24.332159,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:03:40.228270,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:04:15.887755,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:04:30.205869,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
2024-08-13 11:04:46.843257,Michigan,15,Biden,50.6,2804040,Trump,47.8,2649852,99
