,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.160121,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:06.626542,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:16.309338,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:25.859862,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:34.678539,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:43.909648,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:17:52.647542,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:18:01.493391,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:18:10.563930,Harris,58.0,182372,Trump,40.9,128565,100
2024-10-07 13:18:19.514783,Harris,58.0,182372,Trump,40.9,128565,100
