,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.318048,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:06.740488,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:16.409296,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:25.977608,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:34.790883,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:44.029066,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:17:52.742105,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:18:01.608969,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:18:10.665655,Trump,77.5,16670,Harris,21.4,4603,100
2024-10-07 13:18:19.623272,Trump,77.5,16670,Harris,21.4,4603,100
