,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.352376,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:06.775474,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:16.441744,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:26.008917,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:34.818525,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:44.042220,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:17:52.776120,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:18:01.637806,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:18:10.693764,Trump,59.0,19213,Harris,40.0,13019,100
2024-10-07 13:18:19.652296,Trump,59.0,19213,Harris,40.0,13019,100
